Meter No,Score,Band,Recency,Vends_60d,Failure_Rate,Median_Spend,Decision_A_Conservative,Amount_A_Conservative,Reason_A_Conservative,Decision_B_Moderate,Amount_B_Moderate,Reason_B_Moderate,Decision_C_Aggressive,Amount_C_Aggressive,Reason_C_Aggressive
0,40.3,D,0,3,0.04,2398.5,REJECTED,0.0,< 6 vends,REJECTED,0.0,< 4 vends,REJECTED,0.0,Eligible
1,42.5,D,4,2,0.12,2000.0,REJECTED,0.0,< 6 vends,REJECTED,0.0,< 4 vends,REJECTED,0.0,< 3 vends
2,48.0,D,3,8,0.0,2000.0,REJECTED,0.0,Eligible,REJECTED,0.0,Eligible,REJECTED,0.0,Eligible
3,73.3,B,11,9,0.02,57500.0,APPROVED,7500.0,Eligible,APPROVED,20000.0,Eligible,APPROVED,20000.0,Eligible
4,74.4,B,1,9,0.08,180000.0,APPROVED,7500.0,Eligible,APPROVED,20000.0,Eligible,APPROVED,20000.0,Eligible
5,48.1,D,5,10,0.02,2000.0,REJECTED,0.0,Eligible,REJECTED,0.0,Eligible,REJECTED,0.0,Eligible
6,38.9,D,1,7,0.16,1750.0,REJECTED,0.0,Eligible,REJECTED,0.0,Eligible,REJECTED,0.0,Eligible
7,48.9,D,13,4,0.03,2000.0,REJECTED,0.0,< 6 vends,REJECTED,0.0,Eligible,REJECTED,0.0,Eligible
8,48.9,D,0,9,0.05,2000.0,REJECTED,0.0,Eligible,REJECTED,0.0,Eligible,REJECTED,0.0,Eligible
9,70.4,B,1,7,0.03,58000.0,APPROVED,7500.0,Eligible,APPROVED,20000.0,Eligible,APPROVED,20000.0,Eligible
10,39.5,D,2,7,0.12,1500.0,REJECTED,0.0,Eligible,REJECTED,0.0,Eligible,REJECTED,0.0,Eligible
11,66.3,B,4,4,0.21,51000.0,REJECTED,0.0,< 6 vends; High Failure Rate (21%),APPROVED,20000.0,Eligible,APPROVED,20000.0,Eligible
12,42.8,D,3,9,0.0,2500.0,REJECTED,0.0,Eligible,REJECTED,0.0,Eligible,REJECTED,0.0,Eligible
13,48.0,D,32,1,0.08,3000.0,REJECTED,0.0,< 6 vends; > 30 days dormant,REJECTED,0.0,< 4 vends,REJECTED,0.0,< 3 vends
14,41.8,D,3,7,0.04,1500.0,REJECTED,0.0,Eligible,REJECTED,0.0,Eligible,REJECTED,0.0,Eligible
15,51.5,C,3,17,0.04,2554.0,REJECTED,0.0,Below Min Loan Size,REJECTED,0.0,Below Min Loan Size,REJECTED,0.0,Below Min Loan Size
16,36.7,D,0,5,0.0,1750.0,REJECTED,0.0,< 6 vends,REJECTED,0.0,Eligible,REJECTED,0.0,Eligible
17,35.7,D,2,3,0.0,1750.0,REJECTED,0.0,< 6 vends,REJECTED,0.0,< 4 vends,REJECTED,0.0,Eligible
18,42.2,D,5,5,0.04,2000.0,REJECTED,0.0,< 6 vends,REJECTED,0.0,Eligible,REJECTED,0.0,Eligible
19,37.7,D,2,7,0.17,2000.0,REJECTED,0.0,Eligible,REJECTED,0.0,Eligible,REJECTED,0.0,Eligible
20,37.3,D,17,3,0.13,1725.0,REJECTED,0.0,< 6 vends,REJECTED,0.0,< 4 vends,REJECTED,0.0,Eligible
21,39.7,D,5,7,0.05,1500.0,REJECTED,0.0,Eligible,REJECTED,0.0,Eligible,REJECTED,0.0,Eligible
22,43.3,D,3,7,0.04,2000.0,REJECTED,0.0,Eligible,REJECTED,0.0,Eligible,REJECTED,0.0,Eligible
23,43.3,D,2,7,0.0,2000.0,REJECTED,0.0,Eligible,REJECTED,0.0,Eligible,REJECTED,0.0,Eligible
24,36.2,D,2,6,0.03,1500.0,REJECTED,0.0,Eligible,REJECTED,0.0,Eligible,REJECTED,0.0,Eligible
25,45.2,D,8,7,0.12,2500.0,REJECTED,0.0,Eligible,REJECTED,0.0,Eligible,REJECTED,0.0,Eligible
26,45.2,D,0,9,0.0,1924.0,REJECTED,0.0,Eligible,REJECTED,0.0,Eligible,REJECTED,0.0,Eligible
27,45.7,D,1,13,0.02,1825.0,REJECTED,0.0,Eligible,REJECTED,0.0,Eligible,REJECTED,0.0,Eligible
28,34.8,D,5,4,0.17,1500.0,REJECTED,0.0,< 6 vends,REJECTED,0.0,Eligible,REJECTED,0.0,Eligible
29,45.9,D,2,5,0.04,2000.0,REJECTED,0.0,< 6 vends,REJECTED,0.0,Eligible,REJECTED,0.0,Eligible
30,40.5,D,5,4,0.03,2000.0,REJECTED,0.0,< 6 vends,REJECTED,0.0,Eligible,REJECTED,0.0,Eligible
31,42.8,D,3,13,0.1,1859.0,REJECTED,0.0,Eligible,REJECTED,0.0,Eligible,REJECTED,0.0,Eligible
32,40.8,D,1,6,0.08,2000.0,REJECTED,0.0,Eligible,REJECTED,0.0,Eligible,REJECTED,0.0,Eligible
33,45.8,D,1,10,0.02,2000.0,REJECTED,0.0,Eligible,REJECTED,0.0,Eligible,REJECTED,0.0,Eligible
34,36.0,D,3,5,0.0,2000.0,REJECTED,0.0,< 6 vends,REJECTED,0.0,Eligible,REJECTED,0.0,Eligible
35,69.5,B,0,5,0.07,180000.0,REJECTED,0.0,< 6 vends,APPROVED,20000.0,Eligible,APPROVED,20000.0,Eligible
36,70.9,B,0,11,0.05,62000.0,APPROVED,7500.0,Eligible,APPROVED,20000.0,Eligible,APPROVED,20000.0,Eligible
37,41.2,D,5,3,0.13,2500.0,REJECTED,0.0,< 6 vends,REJECTED,0.0,< 4 vends,REJECTED,0.0,Eligible
38,42.3,D,1,10,0.0,2000.0,REJECTED,0.0,Eligible,REJECTED,0.0,Eligible,REJECTED,0.0,Eligible
39,64.9,C,11,4,0.13,54000.0,REJECTED,0.0,< 6 vends,APPROVED,20000.0,Eligible,APPROVED,20000.0,Eligible
40,46.6,D,3,7,0.02,2500.0,REJECTED,0.0,Eligible,REJECTED,0.0,Eligible,REJECTED,0.0,Eligible
41,42.3,D,1,7,0.03,2000.0,REJECTED,0.0,Eligible,REJECTED,0.0,Eligible,REJECTED,0.0,Eligible
42,42.9,D,3,7,0.04,1500.0,REJECTED,0.0,Eligible,REJECTED,0.0,Eligible,REJECTED,0.0,Eligible
43,73.0,B,10,8,0.06,51000.0,APPROVED,7500.0,Eligible,APPROVED,20000.0,Eligible,APPROVED,20000.0,Eligible
44,48.6,D,6,11,0.05,1776.5,REJECTED,0.0,Eligible,REJECTED,0.0,Eligible,REJECTED,0.0,Eligible
45,36.8,D,20,3,0.07,2437.5,REJECTED,0.0,< 6 vends,REJECTED,0.0,< 4 vends,REJECTED,0.0,Eligible
46,73.4,B,2,12,0.08,53000.0,APPROVED,7500.0,Eligible,APPROVED,20000.0,Eligible,APPROVED,20000.0,Eligible
47,66.2,B,4,6,0.09,51000.0,APPROVED,7500.0,Eligible,APPROVED,20000.0,Eligible,APPROVED,20000.0,Eligible
48,38.4,D,5,7,0.09,1691.0,REJECTED,0.0,Eligible,REJECTED,0.0,Eligible,REJECTED,0.0,Eligible
